MutationType,Gene
intronic,FLT3
exonic,SPOP
intronic,CDH1
exonic,BRAF
intronic,DNMT3A
exonic,NRAS
exonic,NRAS
intronic,CDKN2A
intronic,TCEB1
exonic,BRAF
ncRNA_intronic,NRAS
exonic,NSD1
intronic,MYD88
exonic,TCEB1
exonic,NRAS
intronic,NRAS
exonic,BRAF
intronic,CDKN2A
exonic,BRAF
intronic,DNMT3A
UTR5,CDKN2A
UTR5,DNMT3A
intronic,SPOP
intronic,DNMT3A
intronic,BRAF
intronic,BRAF
intronic,SPOP
exonic,CDH1
ncRNA_intronic,TCEB1
upstream,NSD1
ncRNA_exonic,BRAF
splicing,NRAS
intronic,CDKN2A
intronic,CDKN2A
intergenic,SPOP
intronic,CDH1
intronic,APC
exonic,APC
intronic,CDKN2A
intronic,DNMT3A
intronic,FLT3
