MutationType,Gene
exonic,RB1
exonic,MAP2K4
exonic,ALPK2
intronic,ALPK2
exonic,ASXL1
ncRNA_splicing,CNKSR1
splicing,CNKSR1
intronic,ALPK2
intronic,KDM5C
intronic,KDM5C
splicing,KDM5C
exonic,ASXL1
intronic,SMAD4
intronic,KDM5C
intronic,ASXL1
exonic,CNKSR1
intronic,CNKSR1
exonic,SMAD4
exonic,SMAD4
intronic,KDM5C
intronic,MAP2K4
intronic,KDM5C
exonic,ALPK2
intronic,ASXL1
exonic,SMAD4
intronic,RB1
exonic,CNKSR1
intronic,MAP2K4
exonic,RB1
intronic,MAP2K4
intronic,RB1
ncRNA_exonic,SMAD4
intronic,KDM5C
intronic,RB1
upstream,KDM5C
exonic,CNKSR1
exonic,KDM5C
intronic,KDM5C
exonic,CNKSR1
exonic,MAP2K4
exonic,RB1
UTR5,RB1
intronic,CNKSR1
intronic,SMAD4
intronic,ASXL1
