MutationType,Gene
intronic,ARID1A
intergenic,KRAS
intronic,SETD2
intronic,ARID1A
intronic,KDM6A
exonic,SETD2
intronic,WT1
intronic,ARID1A
intronic,KRAS
ncRNA_intronic,PTEN
exonic,PLCG2
intergenic,EGFR
ncRNA_exonic,SETD2
intronic,EGFR
intronic,NTN4
intronic,DNAH12
ncRNA_intronic,NTN4
exonic,DNAH12
intronic,GATA3
exonic,DNAH12
exonic,CBFB
intronic,EGFR
exonic,AKT1
upstream,KDM6A
exonic,PLCG2
intronic,NTN4
intronic,ARHGAP35
exonic,KDM6A
intronic,EGFR
UTR3,DNAH12
exonic,KRAS
exonic,WT1
intronic,ARHGAP35
