func,gene
exonic,KDM5C
intronic,NRAS
downstream,APC
exonic,KDM5C
intronic,CNBD1
intronic,CDH1
exonic,WT1
exonic,RAC1
exonic,CDKN2A
intronic,CTCF
intronic,ARID2
ncRNA_intronic,PIK3CA
intronic,RAC1
exonic,KDM5C
intronic,IDH1
exonic,RAC1
intronic,CTCF
intronic,KDM5C
intronic,MAP3K1
exonic,APC
intronic,WT1
intronic,IDH1
intronic,KDM5C
exonic,APC
intronic,MAP3K1
intergenic,WT1
exonic,CDKN2A
intronic,CDKN2A
exonic,MAP3K1
intergenic,CDKN2A
intronic,APC
ncRNA_splicing,APC
exonic,APC
splicing,IDH1
intronic,NRAS
UTR3,PIK3CA
intronic,PIK3CA
exonic,IDH1
intronic,CDKN2A
