MutationType,Gene
intronic,MAP3K1
upstream,NFE2L2
intronic,BRAF
intronic,XPO1
intronic,ZNF750
exonic,BRAF
exonic,IDH2
exonic,KRAS
splicing,ZNF750
intronic,MLL4
splicing,KRAS
UTR5,XPO1
intronic,MAP3K1
downstream,NFE2L2
exonic,ZNF750
intronic,NOTCH1
intronic,KRAS
intronic,ZNF750
intronic,NOTCH1
exonic,IDH2
intronic,KRAS
intronic,NOTCH1
exonic,NOTCH1
splicing,MAP3K1
exonic,IDH2
exonic,XPO1
exonic,MAP3K1
downstream,NOTCH1
intronic,IDH2
intronic,BRAF
UTR3,NFE2L2
intronic,NFE2L2
exonic,NFE2L2
intronic,BRAF
intronic,IDH2
