MutationType,Gene
intronic,CTCF
intronic,ARHGAP35
ncRNA_splicing,CDH1
intronic,APC
UTR3,APC
intronic,PIK3CA
intronic,RAD21
exonic,CBFB
exonic,CTCF
exonic,CDH1
intronic,PIK3CA
intronic,FBXW7
intronic,FLT3
exonic,APC
exonic,CBFB
exonic,PIK3CA
intronic,FLT3
splicing,PIK3CA
exonic,CCDC6
intronic,CTCF
exonic,FLT3
ncRNA_splicing,RAD21
exonic,ARHGAP35
intergenic,CCDC6
exonic,PIK3CA
intronic,APC
intronic,APC
intronic,ARHGAP35
exonic,PIK3CA
intronic,CCDC6
intronic,CCDC6
intronic,CTCF
intronic,PIK3CA
intronic,FLT3
intronic,PIK3CA
upstream,FLT3
intronic,FBXW7
intronic,FLT3
intronic,FBXW7
intronic,CCDC6
intronic,CBFB
