MutationType,Gene
exonic,BRAF
intronic,PIK3R1
intronic,MAP2K4
intronic,CDKN1A
exonic,NRAS
intronic,MAP2K4
UTR5,PBRM1
intronic,AZGP1
intronic,PIK3R1
intronic,CDKN2A
downstream,BRAF
intronic,NRAS
exonic,FLT3
intronic,BRAF
exonic,PBRM1
intronic,MLL2
intronic,CDKN1A
upstream,MAP2K4
intronic,NPM1
UTR3,CDKN2A
intronic,CDKN2A
intronic,PIK3R1
exonic,SLC26A3
intergenic,AZGP1
UTR3,PBRM1
exonic,CTCF
intergenic,PIK3R1
UTR5,CDKN1A
intronic,SLC26A3
intronic,NPM1
intronic,CTCF
exonic,PBRM1
exonic,CTCF
exonic,SLC26A3
exonic,CDKN2A
intronic,NRAS
intronic,MAP2K4
intronic,CDKN1A
exonic,MLL2
ncRNA_intronic,NPM1
intronic,MAP2K4
ncRNA_splicing,CTCF
intronic,NPM1
