func,gene
intronic,ATP5B
intronic,FLT3
exonic,PBRM1
downstream,PBRM1
intronic,CDKN2A
ncRNA_intronic,PBRM1
intronic,FLT3
intronic,APC
exonic,ATP5B
intronic,ATP5B
intronic,CDKN2A
ncRNA_splicing,PBRM1
exonic,SMARCB1
ncRNA_intronic,PBRM1
intronic,DIS3
intronic,APC
intronic,PBRM1
exonic,FBXW7
exonic,DIS3
intronic,PBRM1
exonic,APC
intronic,FLT3
intronic,PBRM1
exonic,FBXW7
splicing,SACS
UTR5,CDKN2A
intronic,DIS3
exonic,FLT3
intronic,CDKN2A
intronic,FLT3
intronic,DIS3
UTR5,PIK3R1
exonic,ATP5B
exonic,CDKN2A
upstream,ATP5B
intronic,SMARCB1
exonic,APC
