MutationType,Gene
intronic,IDH1
intronic,PDCD2L
exonic,KRAS
downstream,PDCD2L
intronic,NFE2L2
intronic,CDKN2A
intronic,CCND1
intronic,PTEN
exonic,KEAP1
splicing,DNMT3A
intronic,FLT3
splicing,ERBB3
exonic,NPM1
intronic,TSC1
intronic,MLL2
intronic,CCND1
UTR5,DNMT3A
exonic,KEAP1
intronic,MLL2
UTR5,MLL3
exonic,CDH1
downstream,IDH1
downstream,CCND1
intronic,CDH1
exonic,TSC1
exonic,ERBB3
exonic,CDH1
intronic,KRAS
exonic,KRAS
exonic,KEAP1
exonic,CDH1
ncRNA_exonic,ERBB3
exonic,TSC1
intronic,ERBB3
intronic,ERBB3
intronic,CDH1
intronic,ERBB3
exonic,IDH1
