func,gene
exonic,BRE
intronic,TP53
intronic,PIK3CA
exonic,PTEN
intronic,GATA3
exonic,PIK3R1
ncRNA_splicing,PIK3CA
exonic,BRE
intronic,TP53
intronic,GATA3
intronic,PIK3CA
intronic,APC
intronic,BRAF
exonic,BAP1
ncRNA_exonic,APC
intronic,GATA3
UTR5,BAP1
intronic,ASXL1
intronic,PIK3R1
intronic,DNMT3A
intronic,BAP1
upstream,GATA3
intronic,TP53
exonic,PTEN
UTR3,BAP1
exonic,DNMT3A
exonic,BRAF
exonic,APC
exonic,BRAF
exonic,TP53
exonic,PIK3CA
ncRNA_exonic,APC
exonic,DNMT3A
intronic,BAP1
ncRNA_splicing,ASXL1
intronic,APC
intronic,PIK3CA
intronic,PTEN
intronic,PIK3R1
exonic,KDM5C
intronic,ASXL1
exonic,ASXL1
intronic,BAP1
intronic,DNMT3A
exonic,ASXL1
