func,gene
intronic,FGFR2
intronic,MYOCD
intronic,BCLAF1
exonic,KRAS
intronic,NRAS
intronic,KRAS
ncRNA_splicing,NF1
intronic,KRAS
intronic,NRAS
exonic,PIK3R1
upstream,PIK3CA
intronic,MYOCD
exonic,CDKN2A
intronic,ZNF180
exonic,CDKN2A
splicing,NF1
exonic,PIK3CA
intronic,FGFR2
exonic,ZNF180
intronic,CDKN2A
exonic,MYOCD
exonic,ZNF180
exonic,NRAS
intronic,PIK3CA
intronic,PIK3R1
exonic,CDH1
exonic,CDH1
exonic,FGFR2
intronic,KRAS
intronic,PTEN
exonic,PIK3R1
splicing,NRAS
exonic,NF1
exonic,PIK3CA
exonic,ZNF180
intronic,FGFR2
intronic,ZNF180
intronic,PTEN
