MutationType,Gene
intronic,IRF6
UTR3,SMAD4
upstream,SMAD4
intronic,IRF6
intronic,SMAD4
ncRNA_intronic,AKT1
intronic,IRF6
intronic,IRF6
intronic,IRF6
ncRNA_exonic,SMAD4
exonic,IRF6
UTR5,SMAD4
exonic,AKT1
splicing,DNMT3A
ncRNA_exonic,DNMT3A
upstream,SMAD4
ncRNA_exonic,DNMT3A
exonic,IRF6
intronic,AKT1
exonic,AKT1
UTR5,DNMT3A
intronic,SMAD4
exonic,DNMT3A
intronic,DNMT3A
intronic,AKT1
ncRNA_exonic,AKT1
exonic,AKT1
intronic,DNMT3A
intronic,IRF6
ncRNA_exonic,DNMT3A
intronic,DNMT3A
ncRNA_intronic,IRF6
intronic,AKT1
downstream,AKT1
intronic,DNMT3A
intronic,DNMT3A
intronic,IRF6
intronic,SMAD4
downstream,AKT1
splicing,AKT1
