MutationType,Gene
exonic,PTPN11
intronic,IDH2
intronic,PTPN11
exonic,PTPN11
exonic,NF1
intergenic,PTEN
ncRNA_splicing,AKT1
ncRNA_intronic,SF3B1
intronic,KRAS
intronic,TP53
intronic,KRAS
exonic,AKT1
intronic,NF1
intronic,IDH2
exonic,KRAS
intronic,TP53
intronic,FAT1
ncRNA_exonic,NPM1
exonic,FAT1
splicing,KRAS
exonic,NFE2L2
intronic,CDKN2A
exonic,PTEN
exonic,NPM1
exonic,NF1
exonic,IDH2
intronic,TP53
intronic,IDH1
intronic,TP53
exonic,AKT1
intronic,KRAS
exonic,KRAS
exonic,FLG
exonic,SF3B1
exonic,IDH1
exonic,NFE2L2
exonic,FLG
intronic,NFE2L2
intronic,PTEN
exonic,AKT1
exonic,NF1
