MutationType,Gene
intronic,CASP8
exonic,ANK3
intronic,STK11
exonic,ANK3
intronic,SMAD4
intronic,GATA3
intronic,SMAD4
intronic,SMAD4
exonic,NPM1
exonic,MAP3K1
UTR5,ERBB2
intronic,ERBB2
exonic,TBX3
intronic,MAP3K1
exonic,CDH1
intronic,MAP3K1
exonic,CDH1
exonic,KDM5C
intronic,SMAD4
exonic,NPM1
exonic,ANK3
exonic,STK11
intronic,KDM5C
exonic,STK11
intronic,ANK3
intronic,ANK3
exonic,STK11
intronic,TBX3
exonic,TBX3
intronic,CDH1
exonic,NPM1
intronic,MAP3K1
intergenic,GATA3
exonic,ERBB2
intronic,CDKN2A
exonic,CDH1
intronic,CDH1
exonic,ANK3
UTR3,TBX3
exonic,GATA3
exonic,CASP8
exonic,CDKN2A
intronic,FLT3
exonic,FLT3
exonic,FLT3
intronic,GATA3
intronic,TBX3
intronic,CASP8
