func,gene
intronic,AZGP1
exonic,ARID2
intronic,BAP1
intronic,NRAS
exonic,AKT1
intronic,BAP1
intronic,BAP1
intronic,NRAS
intergenic,NRAS
intronic,SLC44A3
exonic,NRAS
intronic,CDH1
intronic,CDH1
intronic,SLC44A3
intronic,SLC44A3
intronic,SLC44A3
exonic,ARID2
intronic,AKT1
intronic,SLC44A3
exonic,ARID2
intronic,SLC44A3
intronic,FLT3
exonic,CDH1
exonic,AZGP1
intronic,BRAF
exonic,KRAS
intronic,FLT3
intronic,SLC44A3
intronic,BRAF
ncRNA_intronic,BRAF
intronic,FLT3
downstream,BAP1
intronic,AZGP1
intronic,BRAF
intronic,CDH1
exonic,NRAS
UTR5,CDKN2A
exonic,CDKN2A
exonic,CDH1
exonic,AKT1
exonic,AKT1
exonic,CDKN2A
intronic,ARID2
intronic,CDKN2A
intronic,BAP1
intronic,NRAS
intronic,AZGP1
