func,gene
intronic,NPM1
intronic,NPM1
downstream,CHD8
UTR3,SF3B1
intronic,GATA3
exonic,NPM1
intronic,CDH1
exonic,MAP3K1
intronic,ELF3
exonic,CHD8
exonic,MAP3K1
intronic,DNMT3A
ncRNA_splicing,ELF3
intronic,ELF3
exonic,CHD8
exonic,GATA3
intronic,CDH1
upstream,CDH1
exonic,CHD8
intronic,SF3B1
exonic,NPM1
exonic,DNMT3A
exonic,DNMT3A
intronic,SETD2
intronic,MAP3K1
downstream,SETD2
UTR3,SF3B1
intronic,NPM1
intronic,CHD8
exonic,DNMT3A
ncRNA_intronic,PTEN
exonic,CHD8
exonic,APC
UTR5,NPM1
exonic,SETD2
intronic,DNMT3A
splicing,SF3B1
ncRNA_intronic,CHD8
exonic,APC
intronic,DNMT3A
intronic,DNMT3A
exonic,PTEN
intronic,MAP3K1
intronic,CDH1
