func,gene
intronic,KRAS
intronic,KRAS
ncRNA_exonic,GOT1
exonic,KRAS
UTR3,SETD2
exonic,CDKN2A
exonic,MGA
intronic,MGA
intronic,SETD2
intronic,CDKN2A
intronic,MGA
intronic,CDKN2A
intronic,SETD2
exonic,SETD2
intronic,NF1
exonic,SETD2
downstream,KRAS
exonic,NF1
intronic,CDKN2A
intronic,KRAS
intronic,KRAS
intronic,KRAS
exonic,MGA
exonic,GOT1
ncRNA_splicing,GOT1
intronic,CDKN2A
exonic,MGA
intronic,GOT1
intronic,MGA
intronic,KRAS
exonic,GOT1
intronic,MGA
intronic,GOT1
intronic,GOT1
intronic,MGA
UTR3,KRAS
exonic,MGA
ncRNA_splicing,CDKN2A
