func,gene
upstream,APC
intronic,TP53
intronic,CBFB
intronic,TP53
exonic,TTLL9
upstream,TP53
intronic,APC
exonic,CDH1
intronic,TP53
ncRNA_intronic,ANK3
exonic,CBFB
intronic,TTLL9
intronic,MED23
exonic,TTLL9
intronic,GATA3
ncRNA_intronic,TP53
exonic,CDH1
ncRNA_splicing,ANK3
UTR5,CDKN2A
intronic,CDH1
intronic,GATA3
intronic,TP53
intronic,MED23
intronic,TTLL9
intronic,TTLL9
intronic,MED23
downstream,CBFB
intronic,CDH1
UTR5,CBFB
exonic,MED23
exonic,CASP8
exonic,TP53
intronic,CBFB
intronic,TP53
intronic,CBFB
intronic,CBFB
UTR3,GATA3
intergenic,ERBB2
