func,gene
intronic,FLT3
intronic,VHL
exonic,APC
exonic,IDH1
intronic,VHL
intronic,PPM1D
intronic,IDH1
intronic,BRAF
intronic,PIK3CA
splicing,PPP2R1A
intronic,IDH1
ncRNA_splicing,IDH1
intronic,PPM1D
exonic,FLT3
intronic,PIK3CA
intronic,PIK3CA
intronic,IDH1
intronic,VHL
intronic,GATA3
intronic,APC
upstream,FAT1
exonic,APC
intronic,PPM1D
exonic,MAP3K1
exonic,BRAF
exonic,PIK3CA
intronic,MAP3K1
exonic,PPP2R1A
exonic,VHL
intronic,PIK3CA
intronic,PPM1D
intronic,BRAF
exonic,FAT1
intronic,VHL
intronic,PPP2R1A
exonic,BRAF
intronic,VHL
exonic,IDH1
exonic,GATA3
upstream,PIK3CA
ncRNA_intronic,IDH1
exonic,IDH1
exonic,GATA3
