MutationType,Gene
exonic,PIK3CA
intronic,SETD2
exonic,APC
intronic,FBXW7
intronic,KRAS
ncRNA_intronic,FBXW7
exonic,SETD2
intronic,APC
intronic,FBXW7
intronic,CDKN2A
intronic,FBXW7
UTR3,CDKN2A
UTR3,PIK3R1
intronic,PIK3CA
exonic,PIK3CA
exonic,BRAF
intronic,APC
exonic,CDH1
intronic,CDH1
intronic,RB1
exonic,BRAF
intronic,FBXW7
intronic,APC
intronic,CDKN2A
intronic,PIK3CA
intronic,CDKN2A
ncRNA_intronic,FBXW7
intronic,BRAF
intronic,CDH1
exonic,BRAF
intronic,BRAF
intronic,PIK3R1
intronic,PIK3R1
intronic,FBXW7
exonic,CDH1
intronic,RB1
exonic,APC
intronic,FBXW7
exonic,RB1
ncRNA_exonic,CDKN2A
intronic,KRAS
intronic,PIK3R1
