MutationType,Gene
exonic,CD79B
ncRNA_intronic,TBL1XR1
intronic,HIST1H1E
intronic,HIST1H1E
intronic,KRAS
intronic,CEP76
intronic,HIST1H1E
intronic,CD79B
exonic,KRAS
intronic,PCBP1
splicing,KRAS
intergenic,MICALCL
intronic,ARID1A
intronic,PCBP1
intronic,ARID1A
intronic,NRAS
intronic,HIST1H1E
exonic,MYD88
exonic,ARID1A
intronic,TBL1XR1
exonic,KRAS
intronic,MYD88
intronic,BRE
downstream,SLC26A3
exonic,CD79B
ncRNA_splicing,MICALCL
intronic,TBL1XR1
exonic,MICALCL
intronic,BRE
exonic,PCBP1
exonic,CEP76
intronic,KRAS
intronic,BRE
intronic,APC
intronic,KRAS
intergenic,TBL1XR1
intronic,CD79B
