MutationType,Gene
exonic,PTEN
intronic,PIK3R1
intronic,PTEN
intronic,TXNDC8
exonic,CDH1
UTR5,PTEN
intronic,MAP3K1
intronic,MAP3K1
exonic,TXNDC8
ncRNA_exonic,TXNDC8
exonic,MAP3K1
intronic,CDH1
intronic,APC
exonic,MAP3K1
exonic,BRAF
intronic,APC
exonic,APC
UTR3,PTEN
UTR3,MAP3K1
intronic,PIK3R1
intronic,PTEN
intronic,PTEN
intronic,PTEN
intronic,TXNDC8
intronic,CDH1
intronic,PTEN
intronic,TXNDC8
exonic,TXNDC8
intronic,PTEN
exonic,BRAF
intronic,BRAF
ncRNA_splicing,BRAF
exonic,TXNDC8
exonic,MAP3K1
exonic,MAP3K1
exonic,PTEN
intronic,TXNDC8
intronic,TXNDC8
exonic,PIK3R1
intronic,BRAF
exonic,APC
intronic,TXNDC8
intronic,CDH1
exonic,APC
exonic,PTEN
ncRNA_intronic,MAP3K1
